Year;ASK [millions seat-kilometer];RPK [millions passenger-kilometer];Energy [MJ];CO2 [MtCO2]
1973;1107532;656426;5107896000000;365.68
1974;1178880;697285;4940424000000;353.69
1975;1269815;763762;4940424000000;353.69
1976;1346260;818300;4940424000000;353.69
1977;1451184;936352;5275368000000;377.67
1978;1607188;1060236;5442840000000;389.66
1979;1723903;1089128;5652180000000;404.64
1980;1756539;1119066;5694048000000;407.64
1981;1794646;1142193;5568444000000;398.65
1982;1852088;1189767;5652180000000;404.64
1983;1972296;1278176;5777784000000;413.64
1984;2081018;1367347;6112728000000;437.62
1985;2234730;1452055;6322068000000;452.6
1986;2367532;1589467;6698880000000;479.58
1987;2524094;1705432;6950088000000;497.56
1988;2608046;1773703;7326900000000;524.54
1989;2800844;1894245;7619976000000;545.52
1990;2779494;1845418;7619976000000;545.52
1991;2930185;1928922;7368768000000;527.54
1992;3013411;1949421;7410636000000;530.53
1993;3169342;2099936;7494372000000;536.53
1994;3358601;2248215;7787448000000;557.51
1995;3563774;2431695;7996788000000;572.5
1996;3727900;2573010;8373600000000;599.47
1997;3837725;2628116;8624808000000;617.46
1998;4050783;2797803;8792280000000;629.45
1999;4504515.27;3201366.12;9085356000000;650.43
2000;4489444.87;3108526.51;9462168000000;677.41
2001;4379359.49;3124069.14;9252828000000;662.42
2002;4443203.76;3180302.38;9336564000000;668.41
2003;4944362.87;3628725.02;9252828000000;662.42
2004;5229355.28;3919023.02;9880848000000;707.38
2005;5500959.43;4170556.2;10257660000000;734.36
2006;5876065.25;4513095.89;10383264000000;743.35
2007;6062667.14;4608466.26;10676340000000;764.33
2008;5948502.62;4561413.04;10550736000000;755.34
2009;6299369.55;4924228.92;9964584000000;713.37
2010;6727814.25;5248140.25;10508868000000;752.34
2011;7010807.09;5528880.29;10801944000000;773.32
2012;7338216.03;5832564.47;10927548000000;782.31
2013;7753754.54;6181177.42;11220624000000;803.29
2014;8281129.67;6644666.3;11555568000000;827.27
2015;8887994.64;7135772.52;12183588000000;872.23
2016;9477044.86;7707117.93;12811608000000;917.19
2017;10105144.45;8257634.62;13648968000000;977.14
2018;10540945.76;8685667.4;14276988000000;1022.1
